snsr_bdi_dt,tmnl_cd,snsr_dat_dstgs_id,snsr_dat_dstgs_nm,ilnd_que_len,que_brkaw_psg_wtng_psec_times,que_jing_psg_wtng_psec_times,dat_ldup_pgrm_id,dat_ldup_ymd
20260620000700,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,4,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000500,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,1,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,1,Entrance West Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,2,Security Check of Departure Ga,1.0,16.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,5,Security Check of Departure Ga,1.0,1.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,3,Entrance East Departure Gates ,4.0,109.0,41.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,3,Security Check of Departure Ga,40.0,333.0,484.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,3,Entrance West Departure Gates ,7.0,37.0,53.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,6,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,4,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000600,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,1,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,2,Security Check of Departure Ga,0.0,11.0,11.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,1,Entrance West Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,5,Security Check of Departure Ga,1.0,1.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,3,Entrance East Departure Gates ,3.0,109.0,33.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,3,Security Check of Departure Ga,38.0,359.0,472.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,3,Entrance West Departure Gates ,7.0,61.0,49.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,6,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,4,Security Check of Departure Ga,1.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620000900,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000700,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,2,Security Check of Departure Ga,1.0,0.0,11.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,5,Security Check of Departure Ga,1.0,1.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,1,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,1,Entrance West Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20260621
20260620001100,P01,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,3,Entrance East Departure Gates ,2.0,109.0,24.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,3,Security Check of Departure Ga,37.0,375.0,444.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,3,Entrance West Departure Gates ,3.0,47.0,29.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,6,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,4,Security Check of Departure Ga,2.0,0.0,22.0,PG_DSD_DTP_E_0004,20260621
20260620001000,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620000800,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20260621
20260620001100,P01,1,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260621
20260620001100,P01,1,Entrance West Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20260621
20260620001100,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260621
20260620001100,P01,5,Security Check of Departure Ga,1.0,1.0,15.0,PG_DSD_DTP_E_0004,20260621
